/00 - Health | GET {{base_url}}/health | Health check
/31 - Matriz Cliente - Checkout | POST {{base_url}}/auth/login | Setup - Login Comercio sin delivery (matriz carrito)
/31 - Matriz Cliente - Checkout | GET {{base_url}}/administrador/comercios/pendientes | Setup - Admin: listar comercios pendientes (comercio sin delivery)
/31 - Matriz Cliente - Checkout | PUT {{base_url}}/administrador/comercios/{{matriz_carrito_comercio2_id}}/resolver | Setup - Admin: aprobar Comercio sin delivery (matriz carrito)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/productos | Setup - Crear producto en comercio sin delivery (matriz carrito)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/carrito/items | Setup - Agregar producto de comercio sin delivery al carrito
/31 - Matriz Cliente - Checkout | GET {{base_url}}/clientes/perfil | Setup - Obtener direccionId del Cliente (matriz carrito)
/31 - Matriz Cliente - Checkout | POST {{base_url}}/pedidos/cliente | [negocio] Checkout - DOMICILIO contra un comercio que no ofrece delivery (debe rechazar, regla de negocio)
/31 - Matriz Cliente - Checkout | DELETE {{base_url}}/carrito | Cleanup - vaciar carrito final (matriz carrito)
/32 - Matriz Cliente - Explorar (busqueda y filtros del catalogo) | GET {{base_url}}/catalogo/productos | Explorar - q vacio (sin parametro, debe devolver el catalogo completo)
/32 - Matriz Cliente - Explorar (busqueda y filtros del catalogo) | GET {{base_url}}/catalogo/productos?q='%20OR%20'1'%3D'1 | Explorar - q con caracteres especiales / SQL-injection-like (debe tratarse como texto literal, no romper)
/32 - Matriz Cliente - Explorar (busqueda y filtros del catalogo) | GET {{base_url}}/catalogo/productos?q=%3Cscript%3Ealert(1)%3C%2Fscript%3E | Explorar - q con script tag (XSS-like, debe tratarse como texto literal)
/32 - Matriz Cliente - Explorar (busqueda y filtros del catalogo) | GET {{base_url}}/catalogo/productos?categoriaId=999999 | Explorar - categoriaId inexistente (debe devolver vacio, no error)
/32 - Matriz Cliente - Explorar (busqueda y filtros del catalogo) | GET {{base_url}}/catalogo/productos?tagIds=999999 | Explorar - tagIds inexistente (debe devolver vacio, no error)
/32 - Matriz Cliente - Explorar (busqueda y filtros del catalogo) | GET {{base_url}}/catalogo/productos?pagina=999 | Explorar - pagina fuera de rango (999, debe devolver vacio sin error)
/32 - Matriz Cliente - Explorar (busqueda y filtros del catalogo) | GET {{base_url}}/catalogo/productos?pagina=-1 | Explorar - pagina negativa (degrada a pagina 1, no rompe)
